Community,Notes,Minifigs,Pieces
"1519 own this set, 865 want it","[PL] Free with Kaczor Donald magazine, January 2016.",,43
"296 own this set, 43 want it","Free with qualifying Duplo purchases at shop.LEGO.com, March 2016.",,4
"10 own this set, 40 want it",,,7
"16 own this set, 23 want it",,,
"22 own this set, 26 want it",,,
"22 own this set, 22 want it",,,
"19 own this set, 21 want it",,,
"21 own this set, 24 want it",,,
"973 own this set, 388 want it","[DE] Available in Müller stores, February 2016.",1,46
"1264 own this set, 312 want it","[US] Free with qualifying LEGO purchases at Toys R Us, February 2016.",1,53
"777 own this set, 595 want it","[NL] Available in A-tembo and Brickshop, January 2015.",1,45
"1400 own this set, 509 want it","[US] Available from Target stores, January 2016.",1,47
"689 own this set, 499 want it","[NA] Free with qualifying LEGO City purchases at shop.LEGO.com and LEGO brand stores, July 2016.",1,53
"1461 own this set, 346 want it","[CZ] Sold in selected Billa Supermarkets, February 2016.",1,38
"2566 own this set, 315 want it","[NA] Free with qualifying purchases at shop.LEGO.com, February 2016.",1,45
"546 own this set, 525 want it",,1,43
"873 own this set, 430 want it",,1,40
"374 own this set, 366 want it","[NA] Free with qualifying purchases at shop.LEGO.com, April 2016.",,
"731 own this set, 329 want it","[CZ] Sold in selected Billa Supermarkets, February 2016",,
"2677 own this set, 487 want it","[EU, UK, AU, NZ] Free with qualifying Disney Princess purchases during January and March 2016 from shop.LEGO.com and LEGO Brand Stores.",1,48
"369 own this set, 343 want it","[NA] Free with qualifying purchases at shop.LEGO.com, January 2016.",1,37
"504 own this set, 398 want it","[DE] Available in Vedes Toy Stores, June 2016.",1,51
"1027 own this set, 566 want it","[CZ] Sold in selected Billa Supermarkets, February 2016.",1,30
"3069 own this set, 368 want it","[DE] Available in Müller stores, February 2016.",1,39
"165 own this set, 390 want it",,,38
"183 own this set, 331 want it",,,43
"1254 own this set, 847 want it",,,63
"2133 own this set, 901 want it","[NA] Free with qualifying purchases at shop.LEGO.com, May 2016.",1,25
"955 own this set, 1237 want it",,1,49
"252 own this set, 269 want it",,,
"2430 own this set, 352 want it","[NA] Available with a calendar token at LEGO brand stores, January 2016.",,43
"201 own this set, 169 want it",,,
"675 own this set, 993 want it",,,77
"391 own this set, 493 want it",,,2
"3105 own this set, 745 want it","Free from shop.LEGO.com and LEGO Brand Stores with qualifying LEGO Star Wars purchases, May 2016.",1,7
"3175 own this set, 808 want it","[NA] Free with qualifying purchases at shop.LEGO.com, April 2016.",1,16
"1266 own this set, 1032 want it",,1,7
"1392 own this set, 2005 want it",Packaged with LEGO Star Wars: The Force Awakens video game Deluxe Edition,1,5
"1010 own this set, 907 want it",,1,6
"1364 own this set, 284 want it",,,65
"1319 own this set, 261 want it",,,64
"876 own this set, 257 want it",,,100
"923 own this set, 276 want it",,,124
"1836 own this set, 670 want it",,,202
"1181 own this set, 502 want it",,,213
"660 own this set, 345 want it",,,222
"1015 own this set, 524 want it",,,230
"3020 own this set, 1664 want it",,1,368
"279 own this set, 351 want it",,,326
"3995 own this set, 2096 want it",,2,467
"1562 own this set, 2275 want it",,2,528
"2477 own this set, 2466 want it",,2,792
"1059 own this set, 1557 want it",,2,387
"7 own this set, 29 want it",,,
"7 own this set, 27 want it",,,
"4 own this set, 24 want it",,,
"7 own this set, 20 want it",,,
"531 own this set, 396 want it",,16,536
"1806 own this set, 428 want it",,2,89
"682 own this set, 438 want it",,4,210
"140 own this set, 28 want it",,,10
"7 own this set, 82 want it",Available from the Leicester Square brand store's Mosaic Maker machine.,,
"1507 own this set, 362 want it",,,150
"1509 own this set, 289 want it",,,111
"1162 own this set, 337 want it",,,150
"836 own this set, 166 want it",,,163
"795 own this set, 230 want it",,,238
"834 own this set, 238 want it",,,155
"506 own this set, 499 want it",,,165
"276 own this set, 196 want it",January 2016,,
"238 own this set, 182 want it",February 2016,,
"239 own this set, 153 want it",March 2016,,
"248 own this set, 198 want it",,,
"242 own this set, 280 want it",,,
"180 own this set, 104 want it",,,
"182 own this set, 145 want it",,,
"211 own this set, 177 want it",,,
"173 own this set, 127 want it",,,
"139 own this set, 125 want it",,,
"122 own this set, 145 want it",,,
"57 own this set, 263 want it",,,
"3446 own this set, 692 want it","[NA] Free with qualifying purchases at shop.LEGO.com and LEGO Brand Stores, August 2016.",,118
"4401 own this set, 1077 want it","Free with qualifying purchases at shop.LEGO.com, June 2016.",2,105
"3158 own this set, 204 want it","24-In-1 Christmas Builds, Holiday Countdown Calendar",,250
"2648 own this set, 1574 want it","Free with qualifying purchases at shop.LEGO.com and LEGO Brand stores, November and December 2016.",1,215
"85 own this set, 199 want it",,,197
"20 own this set, 344 want it",,,
"72 own this set, 374 want it",,,180
"829 own this set, 270 want it",,2,133
"293 own this set, 344 want it",,1,145
"1490 own this set, 567 want it",,2,174
"624 own this set, 594 want it",,8,374
"1246 own this set, 593 want it",,6,477
"606 own this set, 233 want it",,,70
"629 own this set, 357 want it",,1,191
"1254 own this set, 337 want it",,1,109
"1363 own this set, 306 want it",,,50
"1052 own this set, 264 want it",,,52
"884 own this set, 242 want it",,,54
"875 own this set, 339 want it",,1,108
"924 own this set, 331 want it",,1,185
"457 own this set, 350 want it",,1,194
"1044 own this set, 613 want it",,2,313
"834 own this set, 631 want it",,2,439
"779 own this set, 366 want it",,1,114
"637 own this set, 523 want it",,2,320
"661 own this set, 698 want it",,3,726
"314 own this set, 274 want it",,1,77
"257 own this set, 407 want it",,2,286
"272 own this set, 354 want it",,2,370
"267 own this set, 380 want it",,2,575
"773 own this set, 635 want it",,1,174
"798 own this set, 651 want it",,1,195
"1380 own this set, 964 want it",,2,243
"775 own this set, 869 want it",,4,1124
"542 own this set, 271 want it",,2,218
"155 own this set, 366 want it",,,176
"499 own this set, 723 want it",,,424
"176 own this set, 542 want it",,3,774
"719 own this set, 629 want it",,2,597
"407 own this set, 246 want it",,,98
"467 own this set, 247 want it",,,79
"389 own this set, 277 want it",,,186
"1210 own this set, 399 want it",,1,80
"1240 own this set, 440 want it",,1,212
"830 own this set, 430 want it",,1,230
"911 own this set, 520 want it",,2,343
"837 own this set, 537 want it",,2,441
"827 own this set, 623 want it",,2,691
"467 own this set, 520 want it",,2,273
"498 own this set, 565 want it",,2,585
"446 own this set, 618 want it",,2,833
"428 own this set, 648 want it",,3,1014
"46 own this set, 275 want it","Pre-release version of set exclusive to San Diego Comic-Con 2016, for sale on Saturday, July 23rd",,
"44 own this set, 308 want it","Pre-release version of set exclusive to San Diego Comic-Con 2016, for sale on Thursday, July 21st",,
"48 own this set, 311 want it","Pre-release version of set exclusive to San Diego Comic-Con 2016, for sale on Sunday, July 24th",,
"47 own this set, 272 want it","Pre-release version of set exclusive to San Diego Comic-Con 2016, for sale on Friday, July 22nd",,
"1521 own this set, 239 want it",,,63
"1559 own this set, 223 want it",,,69
"1444 own this set, 229 want it",,,62
"1551 own this set, 268 want it",,,64
"1551 own this set, 253 want it",,,63
"1647 own this set, 260 want it",,,64
"1532 own this set, 234 want it",,,70
"1801 own this set, 302 want it",,,57
"1661 own this set, 248 want it",,,54
"1143 own this set, 316 want it",,,67
"1077 own this set, 294 want it",,,70
"1084 own this set, 295 want it",,,70
"1123 own this set, 350 want it",,,55
"1185 own this set, 389 want it",,,66
"1222 own this set, 400 want it",,,62
"1157 own this set, 353 want it",,,63
"1149 own this set, 337 want it",,,68
"1248 own this set, 358 want it",,,67
"727 own this set, 377 want it",,,62
"772 own this set, 393 want it",,,61
"682 own this set, 334 want it",,,66
"671 own this set, 345 want it",,,64
"624 own this set, 335 want it",,,60
"662 own this set, 378 want it",,,64
"660 own this set, 359 want it",,,73
"638 own this set, 333 want it",,,62
"634 own this set, 336 want it",,,63
"1050 own this set, 278 want it",,,113
"668 own this set, 319 want it",,,180
"1153 own this set, 481 want it",,,170
"1002 own this set, 360 want it",,,185
"1057 own this set, 491 want it",,,345
"880 own this set, 512 want it",,,476
"877 own this set, 590 want it",,,647
560 want this set,This set has not yet been released.,,
"1354 own this set, 1104 want it",,,1042
"1165 own this set, 1497 want it",,,1166
"1447 own this set, 1644 want it",,,1977
"1428 own this set, 2000 want it",,,3927
"2366 own this set, 2311 want it",,,2704
"13 own this set, 85 want it",,,104
"1 own this set, 5 want it",,,
"2 own this set, 17 want it",,,
"1 own this set, 9 want it",,,
"2 own this set, 14 want it",,,188
"1 own this set, 7 want it",,,
"3 own this set, 128 want it",,,
"2 own this set, 96 want it",,,
"33 own this set, 85 want it",,,280
"3 own this set, 37 want it",,,
"3 own this set, 35 want it",,,
"6 own this set, 32 want it",,,
"3 own this set, 33 want it",,,
"2 own this set, 33 want it",,,
"1 own this set, 40 want it",,2,2161
"1 own this set, 19 want it",,,
"1203 own this set, 715 want it",,4,81
"1107 own this set, 1024 want it",,2,157
"1045 own this set, 1406 want it",,4,364
"779 own this set, 1419 want it",,6,670
"712 own this set, 1464 want it",,,694
"1305 own this set, 363 want it",,1,64
"1692 own this set, 466 want it",,4,90
"1901 own this set, 771 want it",,2,214
"913 own this set, 629 want it",,3,257
"582 own this set, 799 want it",,5,412
"974 own this set, 1048 want it",,6,919
"746 own this set, 897 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home.,3,368
"684 own this set, 1137 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. ,3,376
"2901 own this set, 731 want it",,1,104
"1395 own this set, 587 want it",,1,95
"1992 own this set, 838 want it",,2,176
"1827 own this set, 833 want it",,3,183
"3928 own this set, 1294 want it",,2,250
"3547 own this set, 1337 want it",,2,248
"2189 own this set, 1239 want it",,2,301
"1272 own this set, 786 want it",,4,83
"970 own this set, 853 want it",,2,175
"797 own this set, 804 want it",,3,324
"491 own this set, 809 want it",,,330
"527 own this set, 1035 want it",,6,824
"276 own this set, 871 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home.,,1277
"1650 own this set, 523 want it",,2,47
"1669 own this set, 500 want it",,4,92
"1532 own this set, 757 want it",,2,184
"722 own this set, 690 want it",,4,200
"1240 own this set, 1229 want it",,8,754
"572 own this set, 752 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. ,3,244
"1146 own this set, 2145 want it",,4,515
"1713 own this set, 526 want it",,7,290
"4242 own this set, 2386 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home.,15,157
58 want this set,This set has not yet been released.,,
"1 own this set, 10 want it",,,
"2 own this set, 22 want it",,,
"4 own this set, 25 want it",,,
"2 own this set, 20 want it",,,
"72 own this set, 39 want it",,,
"62 own this set, 34 want it",,,
"28 own this set, 49 want it","[US] Available in Toys R Us, November 2016",,
"19 own this set, 25 want it","[US] Available in Toys R Us, November 2016.",,
"15 own this set, 31 want it","[US] Available in Toys R Us, November 2016.",,
"1379 own this set, 325 want it",,2,76
"1487 own this set, 339 want it",,2,93
"1506 own this set, 365 want it",,3,237
"1420 own this set, 416 want it",,2,187
"1235 own this set, 475 want it",,2,314
"1411 own this set, 565 want it",,5,367
"1089 own this set, 586 want it",,2,658
"1253 own this set, 688 want it",,7,1140
"609 own this set, 404 want it",,2,95
"480 own this set, 418 want it",,3,202
"423 own this set, 545 want it",,1,301
"551 own this set, 597 want it",,3,516
"386 own this set, 634 want it",,4,670
"555 own this set, 841 want it",,10,1186
"874 own this set, 428 want it",,3,288
"955 own this set, 530 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home.,2,253
"359 own this set, 603 want it",,4,530
"1183 own this set, 669 want it",An exclusive release set in some countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home.,3,375
"1828 own this set, 411 want it",,1,72
"1922 own this set, 374 want it",,1,101
"1870 own this set, 396 want it",,1,82
"1435 own this set, 365 want it",,1,75
"1433 own this set, 351 want it",,1,65
"2362 own this set, 397 want it",,1,69
"952 own this set, 525 want it",,1,69
"872 own this set, 532 want it",,1,75
"781 own this set, 511 want it",,1,64
"931 own this set, 569 want it",,1,67
"372 own this set, 547 want it",,3,342
"280 own this set, 468 want it",,4,406
"138 own this set, 439 want it",,5,666
"489 own this set, 389 want it",,5,207
"421 own this set, 579 want it",,4,439
"473 own this set, 656 want it",,5,567
"488 own this set, 780 want it",,8,767
"314 own this set, 613 want it",,7,1093
"177 own this set, 617 want it",,8,1253
"1284 own this set, 434 want it",,2,98
"807 own this set, 392 want it",,3,231
"950 own this set, 433 want it",,2,221
"878 own this set, 541 want it",,2,350
"1203 own this set, 693 want it",,3,294
"859 own this set, 603 want it",,5,450
"659 own this set, 612 want it",,6,754
"476 own this set, 184 want it",,,
"4614 own this set, 732 want it",,1,6
"4714 own this set, 563 want it",,1,
"4520 own this set, 625 want it",,1,
"5201 own this set, 566 want it",,1,
"4378 own this set, 675 want it",,1,
"4826 own this set, 624 want it",,1,
"4672 own this set, 616 want it",,1,
"4732 own this set, 653 want it",,1,
"4700 own this set, 613 want it",,1,
"4008 own this set, 514 want it",,1,
"3945 own this set, 534 want it",,1,
"4487 own this set, 405 want it",,1,
"5662 own this set, 714 want it",,1,
"4085 own this set, 363 want it",,1,
"4104 own this set, 562 want it",,1,
"4788 own this set, 625 want it",,1,
"2157 own this set, 274 want it",,16,
"347 own this set, 119 want it",,,
"424 own this set, 232 want it","In North America, Captain Hook is present on the bag artwork instead of Donald Duck. In Europe, vice versa.",,
"3739 own this set, 460 want it",,1,3
"3584 own this set, 425 want it",,1,
"3533 own this set, 578 want it",,1,
"3325 own this set, 529 want it",,1,
"3580 own this set, 450 want it",,1,
"3700 own this set, 572 want it",,1,
"3458 own this set, 535 want it",,1,
"3324 own this set, 502 want it",,1,
"3268 own this set, 401 want it",,1,
"3346 own this set, 513 want it",,1,
"3342 own this set, 408 want it",,1,
"3694 own this set, 438 want it",,1,
"3483 own this set, 401 want it",,1,
"3558 own this set, 398 want it",,1,
"3334 own this set, 473 want it",,1,
"3449 own this set, 515 want it",,1,
"3569 own this set, 461 want it",,1,
"3460 own this set, 486 want it",,1,
"2137 own this set, 489 want it",,18,
"350 own this set, 166 want it",,,
"263 own this set, 128 want it",,,
"2698 own this set, 519 want it",,,
"2501 own this set, 427 want it",,,
"2318 own this set, 475 want it",,,
"2921 own this set, 515 want it",,,
"2685 own this set, 456 want it",,,
"3051 own this set, 644 want it",,,
"2702 own this set, 679 want it",,,
"2401 own this set, 414 want it",,,
"2326 own this set, 525 want it",,,
"2702 own this set, 644 want it",,,
"2921 own this set, 570 want it",,,
"2803 own this set, 498 want it",,,
"3129 own this set, 603 want it",,,
"2749 own this set, 517 want it",,,
"3505 own this set, 556 want it",,,
"2718 own this set, 677 want it",,,
"1212 own this set, 330 want it",,,
"161 own this set, 99 want it",,,
"181 own this set, 137 want it",,,
"633 own this set, 204 want it",,1,6
"616 own this set, 195 want it",,1,
"613 own this set, 184 want it",,1,
"599 own this set, 172 want it",,1,
"604 own this set, 164 want it",,1,
"660 own this set, 150 want it",,1,
"692 own this set, 174 want it",,1,
"671 own this set, 169 want it",,1,
"673 own this set, 164 want it",,1,
"702 own this set, 145 want it",,1,
"703 own this set, 156 want it",,1,
"712 own this set, 155 want it",,1,
"652 own this set, 150 want it",,1,
"603 own this set, 177 want it",,1,
"650 own this set, 174 want it",,1,
"602 own this set, 167 want it",,1,
"782 own this set, 288 want it",,16,
"128 own this set, 58 want it",,,
"1792 own this set, 2780 want it",,7,4080
"2373 own this set, 1217 want it","Unlocks ""A Spook Central Adventure""",1,115
"1604 own this set, 1034 want it",,2,92
"2787 own this set, 1162 want it",,1,69
"2970 own this set, 1367 want it",,1,65
"1343 own this set, 649 want it",,1,58
"1906 own this set, 1103 want it","Unlocks ""Over 20 Classic Arcade Games""",1,96
"1461 own this set, 887 want it",,1,48
"1578 own this set, 819 want it",,1,43
"2861 own this set, 955 want it",,1,40
"905 own this set, 765 want it",,1,56
"1179 own this set, 918 want it",,1,52
"1971 own this set, 1389 want it",,1,33
"780 own this set, 887 want it",,1,259
"683 own this set, 1337 want it","Unlocks ""Sonic's the name, speed's my game!""",1,101
"842 own this set, 901 want it","Unlocks ""Battle evil in the Land of Ooo!""",,102
"758 own this set, 873 want it",,2,96
"1038 own this set, 946 want it",,2,119
"859 own this set, 950 want it","Unlocks ""Your mission, should you choose to accept it...""",1,76
"1384 own this set, 1143 want it",,1,73
"525 own this set, 1076 want it",,1,261
"834 own this set, 1328 want it",,2,94
"555 own this set, 835 want it",,1,51
"922 own this set, 1377 want it",,1,42
484 want this set,This set has not yet been released.,,
481 want this set,This set has not yet been released.,,
478 want this set,This set has not yet been released.,,
477 want this set,This set has not yet been released.,,
476 want this set,This set has not yet been released.,,
"224 own this set, 1050 want it",[NA] Exclusive to Toys R Us ,,60
"460 own this set, 197 want it",,,89
"335 own this set, 188 want it",,,80
"397 own this set, 202 want it",,,120
"402 own this set, 214 want it",,,77
"341 own this set, 205 want it",,,74
"408 own this set, 229 want it",,,79
"344 own this set, 200 want it",,,90
"338 own this set, 210 want it",,,87
"392 own this set, 229 want it",,,132
"356 own this set, 213 want it",,,143
"520 own this set, 227 want it",,,172
"401 own this set, 215 want it",,,171
"244 own this set, 284 want it",,,94
"183 own this set, 224 want it",,,114
"156 own this set, 238 want it",,,109
"171 own this set, 225 want it",,,102
"200 own this set, 241 want it",,,191
"488 own this set, 981 want it",Included in PlayStation 4 starter pack for a limited time only (September 2016 - March 2017),,6
436 want this set,This set has not yet been released.,,
"659 own this set, 851 want it","Given away at E3, June 14-16, 2016",1,7
"954 own this set, 2635 want it",,15,2144
"1719 own this set, 670 want it",,,84
"2474 own this set, 1028 want it",,,81
"1427 own this set, 660 want it",,,102
"1333 own this set, 653 want it",,,98
"2458 own this set, 916 want it",,,86
"2311 own this set, 1023 want it",,,82
"426 own this set, 640 want it",,,104
"765 own this set, 912 want it",,,169
"656 own this set, 822 want it",,,106
"4503 own this set, 1053 want it",,1,87
"3919 own this set, 915 want it",,1,91
"4057 own this set, 966 want it",,1,104
"3761 own this set, 1010 want it",,1,93
"3761 own this set, 1001 want it",,1,84
"3053 own this set, 1021 want it",,1,76
"3915 own this set, 1232 want it",,4,112
"4908 own this set, 1447 want it",,4,88
"3869 own this set, 1452 want it",,4,101
"3697 own this set, 1490 want it",,4,109
"3689 own this set, 1491 want it",,2,215
"4819 own this set, 1984 want it",,4,197
"6222 own this set, 2071 want it",,3,231
"3373 own this set, 1687 want it",,4,233
"3886 own this set, 1783 want it",,5,409
"3274 own this set, 1679 want it",,4,646
"1643 own this set, 1240 want it",,3,234
"1000 own this set, 1154 want it",,4,310
1245 want this set,This set has not yet been released.,,
"1454 own this set, 1219 want it",,2,363
"3137 own this set, 1458 want it",,10,282
"916 own this set, 1063 want it",,4,558
"1839 own this set, 1973 want it",,4,530
"2058 own this set, 2539 want it",,4,740
"1728 own this set, 2261 want it",,4,702
"1057 own this set, 1606 want it",,6,903
"1558 own this set, 1348 want it",,3,385
"2264 own this set, 1711 want it",,3,449
"1285 own this set, 1539 want it",,4,543
"1592 own this set, 1419 want it",,5,659
"1456 own this set, 1530 want it",,6,863
"1031 own this set, 1712 want it",,5,972
"592 own this set, 1422 want it",,5,936
"304 own this set, 2836 want it",,27,4016
"741 own this set, 265 want it",,2,74
"562 own this set, 267 want it",,2,168
"526 own this set, 309 want it",,3,277
"506 own this set, 311 want it",,4,386
"503 own this set, 363 want it",,4,620
"444 own this set, 367 want it",,5,859
"3912 own this set, 3863 want it",,10,4634
"2320 own this set, 2106 want it",,6,556
"2003 own this set, 841 want it",,1,173
"2471 own this set, 961 want it",,1,185
"1747 own this set, 809 want it",,1,166
"1824 own this set, 841 want it",,1,175
"1473 own this set, 867 want it",,3,445
"1172 own this set, 1014 want it",,4,664
"954 own this set, 919 want it",,5,732
"4695 own this set, 956 want it",,2,92
"2514 own this set, 1130 want it",,3,306
"1735 own this set, 1142 want it",,5,517
"2979 own this set, 1256 want it",,3,287
"2113 own this set, 985 want it",,4,335
"2082 own this set, 1291 want it",,5,523
"3268 own this set, 1106 want it",,3,179
"2963 own this set, 1568 want it",,7,807
"1586 own this set, 2350 want it",,9,2526
"3370 own this set, 1104 want it",,3,224
"1076 own this set, 1549 want it",,5,563
"898 own this set, 1454 want it",,5,759
"1081 own this set, 1272 want it",,4,257
"1658 own this set, 1999 want it",,7,1092
"2740 own this set, 1426 want it",,3,217
"1011 own this set, 1170 want it",,5,446
"2020 own this set, 1480 want it",[US] Target exclusive,3,358
"3018 own this set, 764 want it",,2,79
"2334 own this set, 724 want it",,2,77
"2709 own this set, 747 want it",,2,88
"2296 own this set, 741 want it",,2,85
"2299 own this set, 723 want it",,2,95
"2372 own this set, 719 want it",,2,80
"1164 own this set, 1568 want it",[US] Toys R Us exclusive,4,330
"15 own this set, 40 want it",,,
"7 own this set, 11 want it",,,
"11 own this set, 14 want it",,,
"10 own this set, 11 want it",,,
"11 own this set, 11 want it",,,
"18 own this set, 17 want it",,,
"20 own this set, 24 want it",,,
"18 own this set, 33 want it",,,
"18 own this set, 35 want it",,,
"7 own this set, 12 want it",,,
"6 own this set, 11 want it",,,
"6 own this set, 13 want it",,,
"2 own this set, 10 want it",,,
"359 own this set, 322 want it",,4,
"465 own this set, 399 want it",,4,
"9 own this set, 14 want it",,,
"16 own this set, 17 want it",,,
"36 own this set, 35 want it",,,
"38 own this set, 29 want it",,,
"35 own this set, 22 want it",,,
"31 own this set, 25 want it",,,
"27 own this set, 25 want it",,,
"91 own this set, 39 want it",,,
"31 own this set, 36 want it",,,
"6 own this set, 17 want it",,,
"5 own this set, 12 want it",,,
"2 own this set, 15 want it",,,
"13 own this set, 19 want it",,,
"29 own this set, 33 want it",,,
"16 own this set, 16 want it",,,
"15 own this set, 44 want it",,,
"400 own this set, 263 want it",,4,
"18 own this set, 27 want it",,,
"15 own this set, 26 want it",,,
"14 own this set, 27 want it",,,
"25 own this set, 25 want it",,,
"24 own this set, 27 want it",,,
"6 own this set, 17 want it",,,
"8 own this set, 23 want it",,,
"108 own this set, 200 want it",,3,
"24 own this set, 24 want it",,,
"17 own this set, 23 want it",,,
"23 own this set, 24 want it",,,
"23 own this set, 27 want it",,,
"68 own this set, 34 want it",,,
"36 own this set, 42 want it",,,
"14 own this set, 33 want it",,,
"23 own this set, 21 want it",,,
"64 own this set, 57 want it",,,
"203 own this set, 335 want it",,,
"275 own this set, 111 want it",,,
"208 own this set, 60 want it",,,
"43 own this set, 28 want it",,,
"215 own this set, 140 want it",,,
"232 own this set, 136 want it",,,
"124 own this set, 86 want it",,,
"53 own this set, 40 want it",,,
"87 own this set, 52 want it",,,
"67 own this set, 39 want it",,,
"93 own this set, 45 want it",,,
"89 own this set, 108 want it",Available in New York LEGO stores,,
"112 own this set, 142 want it",,,
"53 own this set, 65 want it",Available in New York LEGO stores,,
"74 own this set, 39 want it",,,
"89 own this set, 46 want it",,,
"243 own this set, 93 want it",,,
"98 own this set, 45 want it",,,
"286 own this set, 202 want it",,4,
"299 own this set, 214 want it",,4,
"86 own this set, 141 want it",,,
"26 own this set, 68 want it",[US] Given away at CES 2016 at the launch of WeDo 2.0,,
"10 own this set, 32 want it",,,
"0 own this set, 129 want it","Available only in Panama. Production run said to be just 40,000.",,
"0 own this set, 7 want it",,,
"5 own this set, 32 want it",,,
"19 own this set, 64 want it",,,
"22 own this set, 32 want it",,,
"61 own this set, 38 want it",,,
"110 own this set, 43 want it",,,
"39 own this set, 77 want it",Available in New York brand stores.,,
"86 own this set, 21 want it",,,
"42 own this set, 36 want it",,,
"7 own this set, 12 want it",,,
"49 own this set, 14 want it",,,
"28 own this set, 426 want it",LEGO Inside Tour 2016 exclusive set.,8,
168 want this set,This set has not yet been released.,,
"1668 own this set, 1436 want it",,1,
"13 own this set, 22 want it",,,
"1559 own this set, 164 want it","[NA] Free with qualifying purchases at shop.LEGO.com, January and February 2016.",1,
"1109 own this set, 129 want it","[EU] Free with qualifying purchases at shop.LEGO.com, February",,
"714 own this set, 230 want it","[NA] Available with a calendar token at LEGO brand stores, July-October 2016. ",,
"42 own this set, 362 want it",,1,
"199 own this set, 190 want it","[CA] Free with qualifying purchases at Toys R Us, October 2016.",,
102 want this set,This set has not yet been released.,,
"11 own this set, 17 want it",,,
67 want this set,This set has not yet been released.,,
87 want this set,This set has not yet been released.,,
"718 own this set, 213 want it","[EU, UK, AU, NZ] Free with qualifying purchases at shop.LEGO.com and LEGO brand stores, August 2016.",,
"1659 own this set, 1367 want it","[EU] Offered in some brand stores during the May the Fourth promotion, 2016",1,
"1035 own this set, 821 want it","[NL] Free with certain Star Wars purchases in Toys R Us, October 2016.",1,
186 want this set,This set has not yet been released.,,
"2040 own this set, 363 want it","Free with qualifying purchases at shop.LEGO.com, July 2016.",1,
"1151 own this set, 225 want it","[EU, UK, AU, NZ] Free with qualifying purchases at shop.LEGO.com and LEGO Brand Stores, 12 - 23 November, 2016.",,
"379 own this set, 121 want it",Set number not yet confirmed.,4,
"369 own this set, 132 want it",Set number not yet confirmed.,4,
